证券代码,收盘价,RSI(14),网格状态,布林位置,操作建议,加码倍数,20日均振幅%,证券简称
501023,1.185,44.7,正常震荡,中轨下方(看弱),常规网格,1.0x,6.4,未知
563530,1.761,88.37,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,5.34,未知
563230,1.773,87.96,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,5.32,未知
159218,2.158,88.91,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,5.29,未知
512630,1.769,88.7,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,5.22,未知
159206,2.001,88.62,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,4.72,未知
561660,1.471,84.5,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,4.43,未知
563380,1.328,84.32,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,3.8,未知
563320,1.335,87.69,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,3.74,未知
159283,1.384,87.53,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,3.74,未知
501032,1.73,55.11,正常震荡,中轨下方(看弱),常规网格,1.0x,3.65,未知
513310,2.977,81.12,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,3.63,未知
159267,1.341,81.62,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,3.56,未知
512710,0.903,87.0,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,3.52,未知
159638,1.224,89.25,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,3.46,未知
159230,1.427,80.39,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,3.45,未知
159227,1.567,87.96,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,3.43,未知
159208,1.6,88.86,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,3.42,未知
159241,1.595,88.65,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,3.4,未知
159392,1.396,84.89,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,3.32,未知
159257,1.291,83.73,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,3.3,未知
589020,1.405,85.85,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,3.2,未知
561330,2.098,80.11,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,3.19,未知
588170,1.741,86.36,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,3.18,未知
560860,1.766,84.85,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,3.14,未知
560780,1.988,84.11,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,3.14,未知
588710,1.798,87.0,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,3.11,未知
562590,1.899,85.96,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,3.1,未知
159378,1.538,86.27,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,3.1,未知
159558,2.109,84.88,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,3.09,未知
159327,2.144,83.97,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,3.09,未知
159231,0.746,85.64,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,3.09,未知
508022,3.451,65.61,正常震荡,中轨上方(看强),常规网格,1.0x,3.07,未知
159516,1.8,84.29,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,3.06,未知
501201,1.529,62.5,正常震荡,中轨上方(看强),常规网格,1.0x,3.04,未知
159881,2.02,81.62,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,3.02,未知
516650,2.062,82.57,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,3.02,未知
508010,2.97,84.44,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,3.0,未知
508048,3.675,63.17,正常震荡,中轨上方(看强),常规网格,1.0x,3.0,未知
159690,2.135,81.38,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.99,未知
159608,1.169,80.49,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.99,未知
561980,2.35,87.99,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.99,未知
159652,1.822,81.44,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.99,未知
159582,2.588,88.51,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.98,未知
159880,2.126,82.03,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.97,未知
159671,1.43,80.5,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.95,未知
159255,1.282,87.01,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.95,未知
561800,1.085,79.93,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.94,未知
562800,1.019,80.08,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.94,未知
512400,2.094,80.84,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.94,未知
512670,1.033,90.98,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.93,未知
508017,3.894,60.78,正常震荡,中轨上方(看强),常规网格,1.0x,2.93,未知
512680,1.6,89.69,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.89,未知
512560,0.964,89.33,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.89,未知
159871,2.111,82.23,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.87,未知
159876,1.085,81.72,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.87,未知
159246,1.968,82.37,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.86,未知
589180,1.585,98.9,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.84,未知
512660,1.567,89.81,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.84,未知
512810,0.904,90.04,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.82,未知
508092,4.068,63.7,正常震荡,中轨上方(看强),常规网格,1.0x,2.8,未知
159583,1.37,90.86,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.78,未知
515880,3.144,73.91,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.75,未知
501096,1.187,62.73,正常震荡,中轨上方(看强),常规网格,1.0x,2.74,未知
589580,1.436,94.86,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.74,未知
502023,1.909,78.83,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.73,未知
501200,0.922,64.71,正常震荡,中轨上方(看强),常规网格,1.0x,2.71,未知
159599,2.255,89.83,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.7,未知
159242,1.763,83.4,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.7,未知
515050,2.332,75.07,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.7,未知
517520,2.188,71.27,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.68,未知
159363,1.045,82.0,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.67,未知
501217,1.042,85.15,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.67,未知
588810,1.834,89.02,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.66,未知
159321,1.669,71.3,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.65,未知
159994,1.901,75.19,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.65,未知
588290,2.55,88.82,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.64,未知
159967,0.637,60.42,正常震荡,中轨下方(看弱),常规网格,1.0x,2.64,未知
159388,2.138,80.65,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.64,未知
588200,2.602,88.84,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.64,未知
159533,1.92,94.09,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.64,未知
563210,1.685,90.55,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.64,未知
159315,1.788,72.05,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.64,未知
588990,2.702,88.66,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.63,未知
588890,2.926,89.71,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.63,未知
562880,0.882,75.61,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.63,未知
588750,1.736,91.55,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.63,未知
561910,0.865,75.61,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.62,未知
159796,1.012,76.8,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.62,未知
561160,0.866,75.31,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.62,未知
159382,2.233,83.44,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.61,未知
159381,1.975,82.25,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.6,未知
159279,1.19,84.42,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.6,未知
159259,1.104,79.67,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.6,未知
588920,1.671,88.82,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.58,未知
588780,1.684,89.9,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.58,未知
589100,1.67,89.63,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.57,未知
501098,1.607,75.99,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.56,未知
508097,2.921,75.62,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.56,未知
517400,1.724,71.47,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.56,未知
502003,1.854,91.19,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.55,未知
159560,1.832,88.46,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.55,未知
159322,1.778,72.85,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.55,未知
501057,2.554,79.85,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.54,未知
159811,2.324,75.72,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.54,未知
159562,2.382,70.38,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.52,未知
159270,1.232,98.64,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.52,未知
516190,1.431,94.5,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.51,未知
159527,2.322,93.73,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.5,未知
588960,1.438,84.47,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.5,未知
508005,4.141,61.22,正常震荡,中轨上方(看强),常规网格,1.0x,2.49,未知
501085,2.345,60.22,正常震荡,中轨上方(看强),常规网格,1.0x,2.49,未知
159507,2.14,88.98,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.49,未知
588830,1.589,84.14,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.49,未知
516640,1.17,88.78,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.48,未知
159570,1.737,68.75,正常震荡,中轨上方(看强),常规网格,1.0x,2.48,未知
508077,2.929,68.14,正常震荡,中轨下方(看弱),常规网格,1.0x,2.48,未知
512980,1.166,96.54,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.48,未知
159637,0.957,78.57,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.47,未知
501031,0.58,75.36,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.46,未知
159775,0.918,74.23,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.46,未知
159712,1.286,52.13,正常震荡,中轨下方(看弱),常规网格,1.0x,2.46,未知
516660,1.179,78.05,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.46,未知
516390,1.045,77.32,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.45,未知
588070,1.87,90.28,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.45,未知
508011,4.066,52.51,正常震荡,中轨上方(看强),常规网格,1.0x,2.45,未知
516920,1.138,89.62,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.45,未知
159757,0.916,75.31,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.45,未知
516350,1.317,89.09,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.44,未知
159325,1.652,89.79,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.44,未知
501026,1.551,67.81,正常震荡,中轨上方(看强),常规网格,1.0x,2.44,未知
515700,2.578,77.61,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.44,未知
159851,0.887,76.4,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.43,未知
159869,1.581,85.22,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.43,未知
159755,1.105,75.66,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.43,未知
515030,1.93,77.65,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.43,未知
159840,0.886,75.16,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.42,未知
589960,1.092,83.58,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.42,未知
159728,1.051,87.31,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.42,未知
501019,1.599,91.6,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.42,未知
562330,1.255,68.75,正常震荡,中轨上方(看强),常规网格,1.0x,2.42,未知
159806,0.842,77.12,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.42,未知
508007,7.236,66.97,正常震荡,中轨上方(看强),常规网格,1.0x,2.41,未知
159813,1.217,88.78,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.41,未知
159767,0.898,75.0,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.41,未知
516010,1.57,87.91,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.41,未知
159944,1.582,85.03,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.41,未知
512480,1.618,88.61,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.4,未知
159546,1.996,87.58,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.4,未知
508001,5.657,41.49,正常震荡,中轨下方(看弱),常规网格,1.0x,2.4,未知
561100,1.368,82.52,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.4,未知
588790,0.877,95.71,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.4,未知
159801,0.941,87.26,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.4,未知
508078,2.942,52.48,正常震荡,中轨上方(看强),常规网格,1.0x,2.4,未知
159310,2.274,89.62,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.4,未知
508026,4.2,45.11,正常震荡,中轨上方(看强),常规网格,1.0x,2.39,未知
159995,1.902,87.46,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.39,未知
516770,1.639,86.7,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.38,未知
589560,1.054,94.67,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.38,未知
501005,1.066,70.2,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.38,未知
159779,1.212,82.45,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.38,未知
520700,1.674,69.08,正常震荡,中轨上方(看强),常规网格,1.0x,2.37,未知
512760,1.781,90.38,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.37,未知
588010,0.957,98.8,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.37,未知
512220,2.964,80.22,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.37,未知
159217,1.407,67.9,正常震荡,中轨上方(看强),常规网格,1.0x,2.37,未知
159695,2.345,84.49,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.37,未知
515720,0.969,78.88,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.36,未知
159665,1.968,88.47,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.36,未知
589010,1.549,95.6,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.36,未知
588760,0.829,93.53,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.36,未知
588020,2.173,90.42,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.35,未知
589520,0.66,93.58,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.35,未知
589110,1.012,95.6,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.35,未知
516890,0.758,88.35,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.35,未知
588720,1.484,89.3,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.35,未知
159805,1.63,96.5,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.35,未知
159387,1.693,78.84,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.35,未知
588110,2.114,89.46,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.35,未知
589720,1.004,79.89,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.35,未知
513780,1.736,69.21,正常震荡,中轨上方(看强),常规网格,1.0x,2.35,未知
516100,1.457,76.05,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.34,未知
159299,0.979,77.33,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.33,未知
159506,1.483,69.9,正常震荡,中轨上方(看强),常规网格,1.0x,2.33,未知
501205,0.778,52.04,正常震荡,中轨下方(看弱),常规网格,1.0x,2.33,未知
159278,1.166,85.23,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.33,未知
588100,2.141,92.42,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.33,未知
588730,1.614,94.34,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.33,未知
588930,1.71,94.22,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.33,未知
588160,0.975,98.82,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.33,未知
159559,1.48,86.05,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.32,未知
159906,1.491,70.12,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.32,未知
508069,6.405,51.86,正常震荡,中轨上方(看强),常规网格,1.0x,2.32,未知
562950,1.313,82.59,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.32,未知
563670,0.96,78.31,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.31,未知
513280,1.212,69.87,正常震荡,中轨上方(看强),常规网格,1.0x,2.31,未知
561600,1.271,83.78,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.31,未知
159335,1.497,93.5,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.31,未知
588260,2.104,91.59,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.31,未知
159103,0.945,76.97,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.31,未知
159539,1.622,93.49,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.3,未知
159780,0.959,73.88,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.3,未知
562820,2.47,87.35,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.3,未知
508003,3.85,63.21,正常震荡,中轨上方(看强),常规网格,1.0x,2.29,未知
516860,1.511,76.75,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.29,未知
159788,1.346,52.99,正常震荡,中轨下方(看弱),常规网格,1.0x,2.29,未知
589120,0.926,80.37,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.29,未知
588240,1.579,92.11,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.28,未知
520500,1.711,65.06,正常震荡,中轨上方(看强),常规网格,1.0x,2.28,未知
159256,1.116,86.7,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.28,未知
159824,1.286,77.63,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.28,未知
501008,1.041,71.17,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.27,未知
517850,1.228,90.16,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.27,未知
588460,1.743,86.87,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.27,未知
159567,0.84,69.18,正常震荡,中轨上方(看强),常规网格,1.0x,2.27,未知
589700,1.818,95.88,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.27,未知
588380,0.979,74.4,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.26,未知
159297,0.874,69.08,正常震荡,中轨上方(看强),常规网格,1.0x,2.26,未知
159272,0.986,87.43,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.26,未知
589380,1.545,95.9,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.26,未知
159782,0.958,76.72,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.26,未知
516520,1.375,82.04,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.26,未知
159368,1.528,77.83,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.25,未知
588230,1.725,91.51,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.25,未知
520970,0.937,69.27,正常震荡,中轨上方(看强),常规网格,1.0x,2.25,未知
159537,1.633,94.74,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.25,未知
159781,0.956,74.02,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.25,未知
159248,1.586,91.94,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.25,未知
588330,0.972,76.27,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.25,未知
159530,1.649,86.05,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.24,未知
515260,0.698,81.37,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.24,未知
159667,1.698,95.15,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.24,未知
513090,2.149,61.39,正常震荡,中轨上方(看强),常规网格,1.0x,2.24,未知
515550,1.79,95.85,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.24,未知
159725,1.061,94.59,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.24,未知
563570,1.036,80.35,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.24,未知
159732,1.169,80.23,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.23,未知
588500,2.212,97.7,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.23,未知
159370,1.725,74.51,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.23,未知
159783,0.962,76.27,⚠️超买区,中轨上方(看强),暂停买入/逢高减仓,1.0x,2.23,未知
